X,Y,population,EVCharingCount
-8.65,57.85,3,0
-8.6,57.8,0,0
-8.55,57.8,0,0
-8.5,57.85,0,0
-7.65,56.8,1,0
-7.65,56.85,1,0
-7.65,57.5,0,0
-7.65,57.55,0,0
-7.6,56.8,1,0
-7.6,56.85,1,0
-7.6,57.5,0,0
-7.6,57.55,0,0
-7.6,58.3,2,0
-7.55,56.85,1,0
-7.55,56.9,4,0
-7.55,56.95,4,0
-7.55,57.6,1,0
-7.5,56.9,2,0
-7.5,56.95,60,5
-7.5,57.0,15,0
-7.5,57.55,4,0
-7.5,57.6,5,0
-7.5,57.65,4,0
-7.45,56.9,1,0
-7.45,56.95,22,0
-7.45,57.0,4,0
-7.45,57.05,18,0
-7.45,57.2,3,0
-7.45,57.25,1,0
-7.45,57.55,5,0
-7.45,57.6,10,0
-7.45,57.65,1,0
-7.4,57.0,18,17
-7.4,57.05,6,0
-7.4,57.1,18,0
-7.4,57.15,14,0
-7.4,57.2,8,0
-7.4,57.25,5,0
-7.4,57.3,4,0
-7.4,57.35,10,0
-7.4,57.4,5,0
-7.4,57.45,67,120
-7.4,57.55,6,0
-7.4,57.6,5,0
-7.4,57.65,2,0
-7.35,57.0,0,0
-7.35,57.1,17,0
-7.35,57.15,17,24
-7.35,57.2,2,0
-7.35,57.25,1,10
-7.35,57.3,4,6
-7.35,57.35,3,6
-7.35,57.4,27,0
-7.35,57.45,17,121
-7.35,57.5,10,56
-7.35,57.55,7,6
-7.35,57.6,1,0
-7.35,57.65,7,0
-7.35,57.7,5,0
-7.3,57.05,9,15
-7.3,57.1,14,15
-7.3,57.15,21,36
-7.3,57.2,0,0
-7.3,57.25,0,0
-7.3,57.3,0,0
-7.3,57.35,1,0
-7.3,57.4,7,0
-7.3,57.45,3,0
-7.3,57.5,14,0
-7.3,57.55,8,0
-7.3,57.6,0,0
-7.3,57.65,2,0
-7.3,57.7,5,0
-7.3,57.75,4,0
-7.25,57.1,1,0
-7.25,57.15,1,0
-7.25,57.2,0,0
-7.25,57.25,0,0
-7.25,57.3,0,0
-7.25,57.35,6,0
-7.25,57.4,3,0
-7.25,57.45,1,0
-7.25,57.5,10,0
-7.25,57.55,1,0
-7.25,57.6,0,0
-7.25,57.65,1,0
-7.25,57.7,1,0
-7.25,57.75,1,0
-7.25,57.8,1,0
-7.2,57.1,1,0
-7.2,57.3,0,0
-7.2,57.35,0,0
-7.2,57.4,1,0
-7.2,57.45,1,0
-7.2,57.5,7,0
-7.2,57.55,0,0
-7.2,57.6,1,0
-7.2,57.65,1,0
-7.2,57.7,5,0
-7.2,57.75,1,0
-7.2,57.8,0,0
-7.15,57.5,0,0
-7.15,57.55,0,0
-7.15,57.6,16,0
-7.15,57.65,1,0
-7.15,57.7,33,0
-7.15,57.75,7,0
-7.15,57.85,2,0
-7.15,58.0,0,0
-7.15,58.05,0,0
-7.15,58.1,1,0
-7.15,58.15,1,0
-7.1,57.55,0,0
-7.1,57.6,0,0
-7.1,57.65,1,0
-7.1,57.75,2,0
-7.1,57.8,2,0
-7.1,57.85,1,0
-7.1,57.9,0,0
-7.1,57.95,0,0
-7.1,58.0,1,0
-7.1,58.05,0,0
-7.1,58.1,3,0
-7.1,58.15,1,0
-7.1,58.2,1,0
-7.05,57.65,0,0
-7.05,57.7,2,0
-7.05,57.75,13,0
-7.05,57.8,4,0
-7.05,57.85,5,0
-7.05,57.9,0,0
-7.05,57.95,0,0
-7.05,58.0,0,0
-7.05,58.05,0,0
-7.05,58.1,0,0
-7.05,58.15,0,0
-7.05,58.2,6,0
-7.05,58.25,22,0
-7.0,56.45,2,0
-7.0,56.5,1,0
-7.0,57.75,25,23
-7.0,57.8,3,0
-7.0,57.85,3,15
-7.0,57.9,0,0
-7.0,57.95,0,0
-7.0,58.0,0,0
-7.0,58.05,0,0
-7.0,58.1,0,0
-7.0,58.15,0,0
-7.0,58.2,3,22
-7.0,58.25,6,0
-6.95,56.45,5,0
-6.95,56.5,4,0
-6.95,56.55,9,0
-6.95,57.75,4,0
-6.95,57.8,1,0
-6.95,57.85,2,0
-6.95,57.9,1,0
-6.95,57.95,0,0
-6.95,58.0,0,0
-6.95,58.05,0,0
-6.95,58.1,0,0
-6.95,58.15,0,0
-6.95,58.2,3,0
-6.95,58.25,5,0
-6.9,56.45,12,0
-6.9,56.5,7,38
-6.9,56.55,3,0
-6.9,57.75,2,0
-6.9,57.8,3,0
-6.9,57.85,1,0
-6.9,57.9,0,0
-6.9,57.95,0,0
-6.9,58.0,0,0
-6.9,58.05,0,0
-6.9,58.1,0,0
-6.9,58.15,0,0
-6.9,58.2,2,0
-6.9,58.25,4,0
-6.9,58.3,3,0
-6.85,56.5,9,0
-6.85,56.55,6,0
-6.85,57.8,6,0
-6.85,57.85,4,0
-6.85,57.9,4,0
-6.85,57.95,2,0
-6.85,58.0,0,0
-6.85,58.05,0,0
-6.85,58.1,0,0
-6.85,58.15,0,0
-6.85,58.2,7,15
-6.85,58.25,8,15
-6.8,56.5,14,0
-6.8,56.55,6,0
-6.8,57.4,3,0
-6.8,57.45,2,0
